Start time: 1725167195
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-16 ccloud-gpu-hpc-25
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.74
1                       1.73
2                       1.76
4                       1.75
8                       1.73
16                      1.73
32                      1.78
64                      1.89
128                     1.93
256                     2.71
512                     2.80
1024                    2.97
2048                    3.43
4096                    4.42
8192                    5.71
16384                   7.79
32768                   9.75
65536                  12.83
131072                 18.34
262144                 31.81
524288                 56.40
1048576               109.85
2097152               205.40
4194304               420.22
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       5.10
2                      10.05
4                      20.46
8                      40.90
16                     81.70
32                    163.63
64                    299.43
128                   587.19
256                  1048.35
512                  2006.08
1024                 3585.23
2048                 5510.11
4096                 7804.98
8192                 9864.83
16384               10406.43
32768               10836.07
65536               10838.87
131072              11018.98
262144              11149.14
524288              10664.10
1048576             10391.60
2097152             10307.45
4194304             10198.71
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-16 ccloud-gpu-hpc-17
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.73
1                       1.73
2                       1.78
4                       1.74
8                       1.73
16                      1.73
32                      1.78
64                      1.90
128                     1.93
256                     2.71
512                     2.79
1024                    2.97
2048                    3.42
4096                    4.42
8192                    5.67
16384                   7.80
32768                   9.83
65536                  12.83
131072                 18.29
262144                 30.88
524288                 53.66
1048576               101.67
2097152               198.15
4194304               405.09
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.93
2                       9.65
4                      19.77
8                      39.63
16                     77.66
32                    158.01
64                    292.48
128                   575.23
256                  1031.13
512                  1987.70
1024                 3582.30
2048                 5545.08
4096                 7813.59
8192                 9671.92
16384               10471.91
32768               10898.58
65536               10909.63
131072              11053.90
262144              11095.79
524288              10630.38
1048576             10983.01
2097152             10960.79
4194304             10237.78
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-16 ccloud-gpu-hpc-19
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.76
