Start time: 1725155128
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-7
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.71
1                      16.11
2                      16.11
4                      15.98
8                      15.97
16                     16.02
32                     16.26
64                     16.25
128                    16.25
256                    16.37
512                    16.59
1024                   17.13
2048                   18.06
4096                   20.02
8192                   23.33
16384                  30.94
32768                  30.59
65536                  38.55
131072                 55.13
262144                 86.53
524288                150.41
1048576               197.22
2097152               293.39
4194304               493.41
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.12
2                       0.23
4                       0.47
8                       0.95
16                      1.89
32                      3.66
64                      7.29
128                    14.55
256                    29.01
512                    56.88
1024                  114.76
2048                  223.03
4096                  424.09
8192                  758.98
16384                3158.30
32768                4960.70
65536                7016.86
131072               8771.40
262144               9548.05
524288               9972.14
1048576              9906.17
2097152             10016.94
4194304              9881.38
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-4
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.80
1                      16.00
2                      16.00
4                      15.83
8                      15.82
16                     16.13
32                     16.44
64                     16.33
128                    16.28
256                    16.36
512                    16.60
1024                   17.07
2048                   18.00
4096                   19.94
8192                   23.62
16384                  31.07
32768                  30.75
65536                  39.16
131072                 54.86
262144                 86.84
524288                150.89
1048576               198.35
2097152               294.90
4194304               488.48
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.12
2                       0.23
4                       0.48
8                       0.96
16                      1.91
32                      3.70
64                      7.37
128                    14.72
256                    29.36
512                    57.71
1024                  113.61
2048                  223.14
4096                  425.80
8192                  758.32
16384                2807.25
32768                4377.90
65536                6405.80
131072               8315.59
262144               9516.78
524288               9928.46
1048576              9832.61
2097152              9956.27
4194304              9824.97
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-5
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.76
1                      16.58
2                      16.57
4                      16.56
8                      16.31
16                     16.28
32                     16.79
64                     16.69
128                    16.74
256                    16.85
512                    17.09
1024                   17.62
2048                   18.58
4096                   20.47
8192                   23.95
16384                  31.41
32768                  31.38
65536                  39.06
131072                 54.77
262144                 86.90
524288                151.12
1048576               198.67
2097152               294.10
4194304               492.05
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.12
2                       0.23
4                       0.48
8                       0.95
16                      1.91
32                      3.69
64                      7.36
128                    14.67
256                    29.25
512                    58.22
1024                  111.27
2048                  222.55
4096                  424.55
8192                  755.01
16384                2818.95
32768                4400.23
65536                6442.27
131072               8371.59
262144               9474.24
524288               9944.30
1048576              9913.92
2097152              9897.35
4194304              9777.07
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-6
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.76
1                      16.18
