Start time: 1725167195
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-12
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.79
1                       1.79
2                       1.84
4                       1.79
8                       1.79
16                      1.79
32                      1.84
64                      1.95
128                     1.98
256                     2.76
512                     2.84
1024                    3.02
2048                    3.47
4096                    4.46
8192                    5.75
16384                   7.99
32768                  10.16
65536                  13.63
131072                 20.12
262144                 37.27
524288                 70.05
1048576               141.99
2097152               275.77
4194304               551.26
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.75
2                       9.51
4                      18.70
8                      36.62
16                     76.76
32                    149.99
64                    282.82
128                   564.07
256                   996.71
512                  1951.98
1024                 3504.94
2048                 5247.17
4096                 7732.15
8192                 9589.80
16384               10181.69
32768               10819.98
65536               10825.15
131072              11015.28
262144              11249.66
524288              11299.86
1048576             11214.56
2097152             11131.13
4194304              9980.18
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-5
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.86
1                       1.85
2                       1.90
4                       1.85
8                       1.85
16                      1.85
32                      1.90
64                      2.02
128                     2.05
256                     2.83
512                     2.92
1024                    3.11
2048                    3.66
4096                    4.46
8192                    5.82
16384                   7.95
32768                   9.92
65536                  12.75
131072                 18.43
262144                 32.06
524288                 57.60
1048576               108.69
2097152               205.42
4194304               428.02
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.89
2                       9.67
4                      19.59
8                      39.21
16                     76.83
32                    156.66
64                    279.34
128                   561.43
256                  1029.84
512                  1919.59
1024                 3638.19
2048                 5435.87
4096                 7777.46
8192                 9687.87
16384               10213.89
32768               10641.74
65536               10848.31
131072              11025.91
262144              11212.04
524288               9681.49
1048576              9808.72
2097152             10325.69
4194304             10057.19
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-7
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.79
1                       1.81
2                       1.81
4                       1.78
8                       1.78
16                      1.78
32                      1.83
64                      1.95
128                     1.98
256                     2.77
512                     2.84
1024                    3.03
2048                    3.53
4096                    4.44
8192                    5.75
16384                   7.82
32768                   9.91
65536                  12.87
131072                 18.39
262144                 33.12
524288                 60.03
1048576               113.01
2097152               216.00
4194304               426.83
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.77
2                       9.82
4                      19.51
8                      39.25
16                     78.36
32                    156.51
64                    283.34
128                   573.98
256                  1010.46
512                  1980.74
1024                 3453.19
2048                 5487.98
4096                 7777.21
8192                 9802.51
16384               10119.23
32768               10700.36
65536               10941.40
131072              11105.81
262144              11116.37
524288              10292.66
1048576             10807.17
2097152             10811.31
4194304             10040.26
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-9
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.79
1                       1.78
2                       1.82
4                       1.78
8                       1.78
16                      1.78
32                      1.83
64                      1.95
128                     1.99
256                     2.76
512                     2.84
1024                    3.03
2048                    3.48
4096                    4.43
8192                    5.73
16384                   7.78
32768                   9.85
65536                  12.90
131072                 18.42
262144                 32.43
524288                 58.03
1048576               109.09
2097152               205.62
4194304               424.08
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.87
2                       9.72
4                      19.62
8                      38.36
16                     78.47
32                    156.79
64                    286.76
128                   577.76
256                  1020.37
512                  1971.24
1024                 3609.58
2048                 5554.50
4096                 7808.87
8192                 9574.76
16384               10049.00
32768               10667.54
65536               10788.00
131072              10954.10
262144              11226.79
524288              11336.63
1048576             11334.31
2097152             11071.63
4194304             10073.31
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-11
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.77
1                       1.76
2                       1.81
4                       1.77
8                       1.76
16                      1.77
32                      1.83
64                      1.97
128                     2.02
256                     2.80
512                     2.89
1024                    3.07
2048                    3.51
4096                    4.54
8192                    5.82
16384                   8.11
32768                  10.82
65536                  14.74
131072                 21.69
262144                 39.80
524288                 70.61
1048576               134.06
2097152               244.36
4194304               457.50
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.75
2                       9.49
4                      18.86
8                      38.17
16                     74.58
32                    152.16
64                    281.46
128                   565.21
256                   998.48
512                  1955.03
1024                 3575.93
2048                 5469.02
4096                 7619.40
8192                 9504.02
16384               10143.38
32768               10592.46
65536               10865.36
131072              11050.66
262144              10031.72
524288               9542.22
1048576             10270.23
2097152             10463.12
4194304              9944.38
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-10
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.79
1                       1.79
2                       1.82
4                       1.79
8                       1.79
16                      1.80
32                      1.85
64                      1.96
128                     1.99
256                     2.78
512                     2.86
1024                    3.04
2048                    3.48
4096                    4.50
8192                    5.79
16384                   7.87
32768                   9.91
65536                  12.88
131072                 18.61
262144                 33.02
524288                 60.53
1048576               117.81
2097152               227.69
4194304               426.04
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.91
2                       9.81
4                      19.51
8                      39.15
16                     78.61
32                    153.33
64                    288.97
128                   585.37
256                  1030.13
512                  2002.23
1024                 3503.31
2048                 5435.71
4096                 7735.01
8192                 9868.86
16384               10260.56
32768               10909.65
65536               10905.97
131072              11068.44
262144              10178.48
524288               9836.46
1048576             10000.08
2097152             10252.28
4194304             10035.65
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-8 ccloud-gpu-hpc-6
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.86
1                       1.86
2                       1.90
4                       1.86
8                       1.85
16                      1.85
32                      1.90
64                      2.02
128                     2.06
256                     2.83
512                     2.91
1024                    3.10
2048                    3.61
4096                    4.50
8192                    5.81
16384                   7.90
32768                   9.95
65536                  12.83
131072                 18.34
262144                 32.17
524288                 57.55
1048576               110.74
2097152               207.71
4194304               428.07
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.50
2                       9.25
4                      18.07
8                      37.37
16                     77.31
32                    155.18
64                    282.01
128                   560.47
256                  1018.95
512                  1962.47
1024                 3407.06
2048                 5412.08
4096                 7614.35
8192                 9638.90
16384               10147.17
32768               10798.74
65536               11034.11
131072              11195.96
262144              11106.31
524288              10160.27
1048576              9980.20
2097152             10398.28
4194304              9969.37
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-12 ccloud-gpu-hpc-5
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.78
1                       1.78
2                       1.82
4                       1.78
8                       1.77
16                      1.78
32                      1.83
64                      1.95
128                     1.98
256                     2.76
512                     2.84
1024                    3.03
2048                    3.47
4096                    4.49
8192                    5.77
16384                   7.86
32768                   9.92
65536                  12.81
131072                 18.44
262144                 32.94
524288                 60.99
1048576               119.27
2097152               228.19
4194304               428.49
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       4.90
2                       9.58
4                      19.61
8                      39.09
16                     78.34
32                    157.51
64                    285.39
128                   569.23
256                  1020.86
512                  1993.15
1024                 3634.16
2048                 5408.95
4096                 7794.34
8192                 9703.65
16384               10261.87
32768               10863.06
65536               10826.75
131072              10994.55
262144              10957.14
524288              11174.37
1048576             11168.62
2097152             11008.76
4194304              9840.63
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-12 ccloud-gpu-hpc-7
