,i-0ac071c8bbfc2a6a3,i-0358107e18078d175,i-0f44c11a364ca78b3,i-00b22e83f8a857933,i-095b51b154fbf7e39,i-078717b168e405587,i-0204b7b4f1af50f92,i-074f16a88f5ad88d1,i-01bb703276f2012a8,i-0137427b8a5a16223,i-050b16bf7c9e7803c,i-0f45d726bdd3728d6,i-08704459f047b0196,i-0de4eb4f76f87db5d,i-085888788caa37cb5,i-0c9a3076adfd5602b,i-05dbf39fdc70cb4ef,i-02ec1a3da5f96b181,i-024e86ac64840c420,i-09a801ecf5c68ad80,i-04572d90f8cfb2fa0,i-0c69e7a5f0a831970,i-011e3457cd327944d,i-053119b7e5657456f,i-0d9cde6e6ac6611cb,i-010030a0a503c04a5,i-0cd0d7b80687d6e48,i-04bc030ed4ae0caf1,i-0a645a55d7708f4d7,i-06ebc9711473e9e70,i-01cc8e422beb9fef2,i-0f68b79ae8adcb54a,i-067c7d5b34457df08,i-042d4ca6dbd1ee384,i-0fa9dc2993596e326,i-076b2ebb94216a698,i-0aab8f4095e52d139,i-0ce81dee4eb146f39,i-0de211e11c0a5728a,i-0b5b28cc7e0b0df95,i-070f47ac5932ab622,i-0d5c899c4a1b809d4,i-07207135459c35887,i-085dda6bb222b435d,i-084cf34cdf464f3d0,i-00688a4a406b6e25e,i-05f21bfc1a1b58662,i-01da4c39e138e79c3,i-0b5af684addb2d210,i-00edcb297bab7e916,i-00255703698bf9ad2,i-0b20e28d6282719ca,i-0ca47dea941559a0f,i-055f341ab1596a4ae,i-04d7117482b4a5dda,i-06686fa09b713b574,i-00a9fd811657af8e0,i-00345844654aff901,i-0c8ab5d327d21dd6c,i-00fcbeb3e7f2ad405,i-00fa914db3b01cb2e,i-04edcdc9e258de3b5,i-0f39830c4e57814d3,i-01782982a00654ea2,i-0500f26c85ed766e3,i-0c38b40176c274397,i-0aa5b67dd334e77c2,i-0ed9ae3aa9d4aadf4,i-0dc709b496936b26b,i-0f931a98650fafa71,i-07d572b10df23c73e,i-0cc472a0d94ddec9d,i-00ca662b9cf4c4850,i-0d26d325435837afc,i-0a9b67a36a722b9cf,i-04f7bafeb35e23ce3,i-0288072f09416add6,i-08bf389738597a7a9,i-00bfc4245c418cc54,i-04fbce47bacb2e951,i-06b0d53405ac1364a,i-06804055c79cf10de,i-00a29d82be8b94cfc,i-0fd86ea65e7edd978,i-0646d371e66c8bd9d,i-0f49549339f1ac9dd,i-0fa402ec19c43b788,i-0e2b48c650bcb8322,i-01440427ecfe007a6,i-0b6bacd559e44ef81,i-049457eb17bfea4f5,i-09fb632a421af82ba,i-07e626df4e5d45438,i-09403d13762b0a96e,i-06a9a3fdfe081f7a9,i-031cee03d0f50bb11,i-0f51e746a14bac14c,i-028260cb43afd9a82,i-07df15376120523bb,i-0dc519f3fee96b3d8,i-0061ea27678a7b175,i-0357ef42cb7662f9c,i-0cc4934cee26ad224,i-08dde063cf368d742,i-0f46b9ed0c1367213,i-03e2d595444b259b8,i-0f86fe72368c90f8b,i-05fcb7c82388b2ab4,i-043b2b8c0bfb70282,i-0440f32221a5080f6,i-0615b74ef7d0783ac,i-016236b8be220bf1d,i-005fc83debf350502,i-04c3256dc946bfd78,i-0460fe210e23974d0,i-07b68c890e6dab8b6,i-0a4781b7b18454b27,i-0e2ead0f7adb85c8c,i-0907a6f8b10d3cf49,i-09a081564735473cf,i-098985a57c0b2bb2b,i-07bd2b0ba5f22207b,i-0156c90fcd5ce2946,i-094acbf7e2361e5c3,i-09ad11f249650be10,i-0b041f3eebfcb736a,i-0f8b613b1f1bfaeb0,i-033f0149ff34f86a0,i-084df9ed7823264b7,i-07ce4b700f99c76a8,i-05c3a1e18b2e885e1,i-06ed33fe859d2ad79,i-036b1cf5817473830,i-058305f3d8121cd8d,i-0f3cb0f0f0ca95bbe,i-01033f9c7b53d68b4,i-050974ab0b2389f4d,i-07836f87ebf0a51b6,i-0ae66f52981d6c3a9,i-0da1c151a17227fb4,i-029284bc35092ca78,i-081606125113af83a,i-04f9ba193a77bcd11,i-09c98971aabbae3ac,i-090282f832dd57389,i-0a61c21f2cf095101,i-0b3c9065e0c35b1e2,i-0410d114926a9613d,i-0e534965e819636dc,i-0f6d1727f755bec94,i-0125408d0b90276f2,i-05a4b49eb2aa367fe,i-0962cb1874811608c,i-0bf5144dee84f1fdc,i-0158519e1197bcae1,i-02ed58b7a8f26fbb9,i-0cc032a8cdfaac114,i-0923b59f94856f120,i-05f3afd0afdafa556,i-07153857149f1dfcd,i-0eed6a88466cfb8b3,i-09927e5efa9c4ebd0,i-065be124ffdba78aa,i-08c1a06a345f8e291,i-001bc4cff271ac32b,i-052138b983502eff3,i-07195a7f521a481da,i-05c548480fece637d,i-084ca500d636caf6c,i-0981f74d287d2ea41,i-034ce6ecfe79cf95f,i-0dc80daefd0820f3f,i-061a71da4d2e502ee,i-0d6c7b6fa01d3b6a0,i-0be9a5ef2a016917c,i-0a4c7a27aefa9b157,i-0980bbd3a6769ad9a,i-0df1e7c0cf01dae54,i-0a8d02912ee62cf50,i-0147f7cb56cc00595,i-09e120cc905285788,i-0a9fe4a01a22a4908,i-06e29a32607977bf1,i-0275ca0ace4f40d8f,i-0215d090cd14f79c8,i-01cf32d23d4af43d1,i-0eeb48b8ad0224986,i-093058fa9d1e0962b,i-0b7fc2a350062d7e6,i-09093adb6fe380cd0,i-06d1820d1fcc4f621,i-01b6659f6308197af,i-0dbd72405feede6e7,i-0dd31cc625b9fd67b,i-0eacab2e00a6b5761,i-08b53961767d37bb6,i-0c6fa4dd7edbdeb68,i-042af2d7a3eee3c37,i-043ed2845435627bd,i-0d7d5f9c0a17cd2e0,i-058d2ec101bca222e,i-0f36b8d7091d12032,i-0e50d43d20da0d5ff,i-0aee39c2effea318b,i-09fbb042dbcacfd4c,i-0a9af581cda2774ed,i-0c6c44c5d0c9daed8,i-00a38f44b809d5d59,i-0303699e478847409,i-033009f3b87d674f2,i-0570d249ca300f855,i-04fb5423ff8ac9ddc,i-0bc6f903ba4aac196,i-0f33db25728cb3e66,i-0e1e88f1dc6c75b9b,i-0a71be0efb7e823bc,i-09fc90959ec2626c4,i-096bd0241ee76f5d6,i-0daa53393a8ba822e,i-07fed9007634cb627,i-0798a62dd2771054a,i-0bd4ab2409bf2f149,i-0a9d5f5089b31a5da,i-0d48e1050439b026d,i-023a5dca2ef3f6ab8,i-0c49c9f4c28b33bf8,i-0529ee8b94f6527e1,i-02e8b503d0a08e4d5,i-019b0bc9866f93271,i-0a21de359c65c9d41,i-0ba992fc186dd7135,i-0089f38cee236ae00,i-09cd2b58f16179100,i-091f587caa3bec57f,i-0249b93cc668142e9,i-0c430effa08742c93,i-0db0ba423563c7aa4,i-0aefd6cf801b3c332,i-0696a582e43087ac6,i-012f5e5e6401f4af0,i-097ca89444a628a73,i-046d7181910ebefe0,i-05414d6dc5450e302,i-0ee7f59ca765e413b,i-02410b7dbcb995bea,i-03481c7b439210239,i-035fe46626b3cd150,i-0c1cc3f7eb350a267,i-0e14e553e61155bd3,i-003a251f497da3fec,i-01253e67e0db45a64,i-03c598d44f7664bd9,i-0467ef31640dc338e,i-092d884ccf521467a,i-0b29b0d2acc8cb8c4,i-0c3e4c2f7aa798bcd
i-050b16bf7c9e7803c,2,2,4,4,4,2,4,4,4,4,0,2,4,4,2,4,2,4,2,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,2,2,4,4,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,4,4,2,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4
i-0f45d726bdd3728d6,2,2,4,4,4,2,4,4,4,4,2,0,4,4,2,4,2,4,2,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,2,2,4,4,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,4,4,2,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4
i-08704459f047b0196,4,4,2,4,2,4,4,2,2,4,4,4,0,4,4,2,4,2,4,2,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,2,2,2,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,2,2,2,4,2,4,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,4,4,4,2,4,2,4,4,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2
i-0de4eb4f76f87db5d,4,4,4,4,4,4,2,4,4,2,4,4,4,0,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,2,4,4,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4
i-085888788caa37cb5,2,2,4,4,4,2,4,4,4,4,2,2,4,4,0,4,2,4,2,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,2,2,4,4,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,4,4,2,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4
i-0c9a3076adfd5602b,4,4,2,4,2,4,4,2,2,4,4,4,2,4,4,0,4,2,4,2,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,2,2,2,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,2,2,2,4,2,4,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,4,4,4,2,4,2,4,4,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2
i-05dbf39fdc70cb4ef,2,2,4,4,4,2,4,4,4,4,2,2,4,4,2,4,0,4,2,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,2,2,4,4,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,4,4,2,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4
i-02ec1a3da5f96b181,4,4,2,4,2,4,4,2,2,4,4,4,2,4,4,2,4,0,4,2,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,2,2,2,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,2,2,2,4,2,4,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,4,4,4,2,4,2,4,4,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2
i-024e86ac64840c420,2,2,4,4,4,2,4,4,4,4,2,2,4,4,2,4,2,4,0,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,2,2,4,4,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,4,4,2,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4
i-09a801ecf5c68ad80,4,4,2,4,2,4,4,2,2,4,4,4,2,4,4,2,4,2,4,0,4,4,2,2,4,2,2,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,2,2,2,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,2,2,2,4,2,4,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,4,4,4,2,4,2,4,4,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2
i-04572d90f8cfb2fa0,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,4,4,4,0,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,2,4,4,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4
i-0c69e7a5f0a831970,2,2,4,4,4,2,4,4,4,4,2,2,4,4,2,4,2,4,2,4,4,0,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,2,2,4,4,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,4,4,2,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4
i-011e3457cd327944d,4,4,2,4,2,4,4,2,2,4,4,4,2,4,4,2,4,2,4,2,4,4,0,2,4,2,2,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,2,2,2,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,2,2,2,4,2,4,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,4,4,4,2,4,2,4,4,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2
i-053119b7e5657456f,4,4,2,4,2,4,4,2,2,4,4,4,2,4,4,2,4,2,4,2,4,4,2,0,4,2,2,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,2,2,2,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,2,2,2,4,2,4,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,4,4,4,2,4,2,4,4,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2
i-0d9cde6e6ac6611cb,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,2,2,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4
i-010030a0a503c04a5,4,4,2,4,2,4,4,2,2,4,4,4,2,4,4,2,4,2,4,2,4,4,2,2,4,0,2,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,2,2,2,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,2,2,2,4,2,4,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,4,4,4,2,4,2,4,4,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2
i-0cd0d7b80687d6e48,4,4,2,4,2,4,4,2,2,4,4,4,2,4,4,2,4,2,4,2,4,4,2,2,4,2,0,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,2,2,4,2,2,2,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,4,4,4,2,4,2,4,4,4,4,2,2,2,2,4,2,4,4,2,2,2,4,4,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,4,4,2,2,4,4,4,2,4,2,4,4,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,4,2,4,4,4,2,4,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,2,4,2,2
i-04bc030ed4ae0caf1,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,0,4,4,4,4,4,2,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,2,4,4,2,4,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,2,4,4,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4
i-0a645a55d7708f4d7,2,2,4,4,4,2,4,4,4,4,2,2,4,4,2,4,2,4,2,4,4,2,4,4,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,2,2,2,4,2,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,2,4,4,4,2,2,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,2,2,4,4,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,4,2,2,4,4,4,2,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,2,4,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4
