Start time: 1725160905
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-32 ccloud-gpu-hpc-31
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.74
1                      17.81
2                      17.84
4                      17.69
8                      17.62
16                     17.88
32                     17.87
64                     17.96
128                    18.03
256                    18.20
512                    18.23
1024                   18.77
2048                   19.77
4096                   21.58
8192                   25.15
16384                  32.82
32768                  32.43
65536                  40.26
131072                 55.83
262144                 88.57
524288                157.78
1048576               209.00
2097152               316.91
4194304               536.05
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.23
4                       0.46
8                       0.92
16                      1.83
32                      3.56
64                      7.07
128                    14.15
256                    28.20
512                    54.52
1024                  111.35
2048                  215.03
4096                  408.84
8192                  741.55
16384                2693.86
32768                4217.65
65536                6134.53
131072               7840.80
262144               9002.15
524288               9374.29
1048576              9281.55
2097152              9386.70
4194304              9384.39
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-32 ccloud-gpu-hpc-28
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.74
1                      16.39
2                      16.54
4                      16.47
8                      16.37
16                     16.41
32                     16.55
64                     16.55
128                    16.68
256                    16.74
512                    16.94
1024                   17.44
2048                   18.43
4096                   20.26
8192                   23.82
16384                  31.42
32768                  32.09
65536                  39.07
131072                 54.76
262144                 88.07
524288                156.40
1048576               207.58
2097152               312.92
4194304               521.68
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.28
4                       0.56
8                       1.12
16                      2.24
32                      4.31
64                      8.58
128                    17.14
256                    34.19
512                    68.25
1024                  134.75
2048                  247.11
4096                  484.02
8192                  814.57
16384                2783.56
32768                4347.10
65536                6222.41
131072               7930.52
262144               9076.05
524288               9440.77
1048576              9342.25
2097152              9459.75
4194304              9481.87
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-32 ccloud-gpu-hpc-27
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.48
1                      17.34
2                      17.25
4                      17.19
8                      17.21
16                     17.25
32                     17.59
64                     17.41
128                    17.47
256                    17.59
512                    17.74
1024                   18.26
2048                   19.21
4096                   21.10
8192                   24.74
16384                  31.41
32768                  30.87
65536                  38.72
131072                 54.31
262144                 87.17
524288                156.87
1048576               210.01
2097152               313.43
4194304               518.04
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.45
8                       0.91
16                      1.81
32                      3.52
64                      7.01
128                    13.99
256                    27.88
512                    53.74
1024                  109.90
2048                  212.81
4096                  404.36
8192                  735.45
16384                2764.17
32768                4314.04
65536                6215.02
131072               7920.46
262144               9006.94
524288               9379.22
1048576              9304.42
2097152              9382.07
4194304              9400.81
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-32 ccloud-gpu-hpc-24
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.74
1                      17.62
2                      17.46
4                      17.41
8                      17.54
16                     17.67
32                     18.10
64                     17.98
128                    18.01
256                    18.23
512                    18.27
1024                   18.84
2048                   19.81
4096                   21.68
8192                   25.42
16384                  32.67
32768                  32.23
65536                  40.18
131072                 55.84
262144                 88.60
524288                157.40
1048576               211.54
2097152               316.97
4194304               522.83
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.23
4                       0.46
8                       0.92
16                      1.84
32                      3.57
64                      7.12
128                    14.25
256                    28.46
512                    54.68
1024                  111.92
2048                  217.23
4096                  411.12
8192                  743.06
16384                2795.98
32768                4333.30
65536                6188.23
131072               7916.91
262144               9004.34
524288               9380.03
1048576              9222.06
2097152              9340.72
4194304              9366.82
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-32 ccloud-gpu-hpc-21
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.74
1                      17.43
2                      17.33
4                      17.38
8                      17.38
16                     17.35
32                     17.68
64                     17.75
128                    17.80
256                    17.97
512                    18.05
1024                   18.59
2048                   19.55
4096                   21.40
8192                   24.82
16384                  32.29
32768                  32.08
65536                  39.98
131072                 55.68
262144                 88.49
524288                156.48
1048576               207.94
2097152               317.34
4194304               545.32
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.46
8                       0.91
16                      1.83
32                      3.54
64                      7.05
128                    14.11
256                    28.16
512                    54.31
1024                  111.42
2048                  215.62
4096                  407.16
8192                  740.40
16384                2789.03
32768                4338.54
65536                6209.06
131072               7890.46
262144               9071.27
524288               9462.28
1048576              9262.68
2097152              9368.86
4194304              9396.72
Point-to-point pairwise experiments for nodes ccloud-gpu-hpc-32 ccloud-gpu-hpc-18
# OSU MPI-CUDA Latency Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.77
1                      17.47
2                      17.52
4                      17.18
8                      17.20
16                     17.26
32                     17.58
64                     17.73
128                    17.76
256                    17.94
512                    18.04
1024                   18.64
2048                   19.58
4096                   21.30
8192                   24.94
16384                  32.45
32768                  32.05
65536                  40.05
131072                 55.77
262144                 88.18
524288                154.69
1048576               206.02
2097152               315.17
4194304               538.68
# OSU MPI-CUDA Bandwidth Test v5.8
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.23
4                       0.46
8                       0.92
16                      1.83
32                      3.56
64                      7.08
128                    14.13
256                    28.15
512                    54.05
1024                  110.91
2048                  214.60
4096                  410.23
8192                  741.49
16384                2719.73
32768                4250.48
65536                6154.41
131072               7875.58
262144               9048.66
524288               9321.43
1048576              9326.49
2097152              9459.33
4194304              9482.15
